sku,product_id,detail_url,title,price,competitor,height,width,weight,packaging_dimensions,colour,materials
BENELN014WHI-UK,38636,elona-opbergbank-glanzend-wit,"Elona opbergbank, glanzend wit",34900,made,53,145,35.0000,22 x 54 x 164cm ,Wit,
BENESN009GRY-UK,55565,edson-tuinbank-cement-en-metaal-1,"Edson tuinbank, cement en metaal",37900,made,45,170,32.0000,0,Wit,Beton
BENETIN02GRY-ME,6682,etienne-beklede-opbergbank-shire-grijs,"Etienne beklede opbergbank, Shire grijs",32900,made,50,113,17.0000,115 x 46 x 26 cm,Grijs,
BENEVA007GOL-ME,57459,evadine-voetenbank-vintage-goud-fluweel,"Evadine voetenbank, vintage goud fluweel",37900,made,40,150,15.0000,1: 26 x 151 x 57cm ,Goud,Fluweel
BENION002ELM-UK,27451,iona-bank-massief-hout,"Iona bank, massief hout",32900,made,44,240,17.0000,24 x 53 x 253 cm,Licht hout,
BENJFRY02BRO-UK,4481,jeffrey-opbergbank-zadelbruin-premiumleer,"Jeffrey opbergbank, zadelbruin premiumleer",54900,made,47,134,24.0000,138 x 51 x 51cm,Bruin,
BENJNH018RED-ME,9366,jonah-bank-met-kussen-bessenrood,"Jonah bank met kussen, bessenrood",29900,made,40,153,18.0000,155 x 53 x 25 cm,Rood,
BENJNH019GRY-ME,9396,jonah-bank-met-kussen-warm-grijs,"Jonah bank met kussen, warm grijs",29900,made,40,153,18.0000,155 x 53 x 25cm,Grijs,
BENJNH042YEL-ME,9371,jonah-bank-met-kussen-helgeel,"Jonah bank met kussen, helgeel",29900,made,40,153,18.0000,155 x 53 x 25 cm,Geel,
BENJNH050GRE-ME,9376,jonah-bank-met-kussen-venkelgroen,"Jonah bank met kussen, venkelgroen",29900,made,40,153,18.0000,155 x 53 x 25cm,Groen,
BENJNH054GRY-ME,9391,jonah-bank-met-kussen-shire-grijs,"Jonah bank met kussen, shire grijs",29900,made,40,153,18.0000,155 x 53 x 25cm,Grijs,
BENJNH058BLU-ME,9381,jonah-bank-met-kussen-mediterraans-blauw,"Jonah bank met kussen, mediterraans blauw",29900,made,40,153,18.0000,155 x 53 x 25cm,Blauw,
BENJNS006BLA-UK,17567,jenson-bank-van-sterk-eikenhout-in-donkergrijs,"Jenson bank, eikenhout en donkergrijs",19900,made,44,158,18.0000,56 x 169 x 47,"Zwart,Licht hout",
BENJNS008GRY-UK,23751,jenson-bank-van-sterk-eikenhout-donkergrijs,"Jenson bank van sterk eikenhout, donkergrijs",24900,made,44,158,18.0000,167 x 45 x 59cm,"Zwart,Licht hout",
BENJNS044GRY-UK,48129,jenson-bank-massief-eikenhout-en-donkergrijs,"Jenson bank, massief eikenhout en donkergrijs",24900,made,44,158,18.0000,0,"Grijs,Licht hout","Stof,Hout"
BENJNS053BLU-UK,48130,jenson-bank-donkergebeitst-eikenhout-en-parelmoerblauw,"Jenson bank, donkergebeitst eikenhout en parelmoerblauw",24900,made,44,158,18.0000,0,"Blauw,Donker hout","Stof,Hout"
BENJNS056GRY-UK,48131,jenson-bank-donkergebeitst-eikenhout-en-donkergrijs-1,"Jenson bank, donkergebeitst eikenhout en donkergrijs",24900,made,44,158,18.0000,0,"Grijs,Donker hout","Stof,Hout"
BENJNS058BLU-UK,48132,jenson-bank-eikenhout-en-parelmoerblauw,"Jenson bank, eikenhout en parelmoerblauw",24900,made,44,158,18.0000,0,"Blauw,Licht hout","Stof,Hout"
BENJNS059ORA-UK,48133,jenson-bank-eikenhout-en-roodoranje,"Jenson bank, eikenhout en roodoranje",24900,made,44,158,18.0000,0,"Oranje,Licht hout","Stof,Hout"
BENLLE031GRY-UK,56304,lule-compacte-eetkamerbank-ombergrijs,"Lule compacte eetkamerbank, ombergrijs",34900,made,83,140,24.0000,1: 45 x 142 x 63cm ,"Grijs,Donker hout",Stof
BENMEA002WHI-UK,33686,mead-bankset-voor-buiten-kalkwit,"Mead tuinset voor buiten, kalkwit",64900,made,0,0,65.0000,31 x 110 x 157cm,"Wit,Licht hout","Metaal,Hout"
BENMEA003GRY-UK,40018,mead-tafel-en-bankjes-donkergrijs,"Mead tafel en bankjes, donkergrijs",64900,made,76,150,65.0000,31 x 110 x 157 cm,"Wit,Licht hout","Metaal,Hout"
BENMNS002WHI-UK,25341,mini-stroller-bank-eiken-en-wit,"Mini Stroller bank, eiken en wit",13900,made,42,66.8,4.7000,68.5 x 39.2 x 16.5cm  ,"Wit,Licht hout",
BENMNS003YEL-UK,25346,mini-stroller-bank-eiken-en-geel,"Mini Stroller bank, eiken en geel",13900,made,42,66.8,4.7000,68.5 x 39.2 x 16.5cm  ,"Geel,Licht hout",
BENRHY001NAT-UK,57155,rhye-eetkamerbank-geweven-stof,"Rhye eetkamerbank, geweven stof",29900,made,47,120,8.0000,0,Natural,"Eiken,Rotan"
BENTEL002NAT-UK,55563,telmo-8-zitsbank-voor-buiten-acaciahout,"Telmo 8-zitsbank voor buiten, acaciahout",24900,made,45,190,17.0000,1: 35 x 193 x 51cm ,Licht hout,"Hout,Massief hout"
BENYUR001PNK-UK,55505,yuri-bank-voor-buiten-geweven-blauw,"Yuri bank voor buiten, geweven blauw",37900,made,95,156,17.0000,1: 50 x 140 x 80cm ,Groen,Rotan
BINDAL002ZSI-UK,53488,dale-vierkante-afvalemmer-van-roestvrijstaal-30l-zilver,"Dale vierkante afvalemmer van roestvrijstaal 30L, zilver",4500,made,64,27,3.4500,70 x 35 x 35 cm ,Zilver,"Metaal,Roestvrij staal"
BINDAL003BLK-UK,54046,dale-afvalemmer-van-roestvrijstaal-3l-matzwart,"Dale afvalemmer van roestvrijstaal 3L, matzwart",1600,made,26,16,0.8000,30 x 20 x 20 cm ,Zwart,"Metaal,Roestvrij staal"
BINDAL004ZSI-UK,54047,dale-afvalemmer-van-roestvrij-staal-3l-zilver,"Dale afvalemmer van roestvrij staal 3L, zilver",1600,made,26,16,0.8000,30 x 20 x 20 cm ,Zilver,"Metaal,Roestvrij staal"
BINROL001BLK-UK,53480,rollo-afvalemmer-met-draaideksel-50l-zwart,"Rollo afvalemmer met draaideksel 50L, zwart",6900,made,75,35,4.6200,80 x 40 x 40 cm,Zwart,Metaal
BINTER001BLK-UK,53483,made-essentials-teri-afvalemmer-12l-matzwart,"MADE Essentials Teri afvalemmer 12L, matzwart",2200,made,39,29,1.5600,30 x 20 x 20 cm ,Zwart,Metaal
BINTER001WHT-UK,53484,made-essentials-teri-afvalemmer-12l-matwit,"MADE Essentials Teri afvalemmer 12L, matwit",2200,made,39,29,1.5600,30 x 20 x 20 cm ,Zwart,Metaal
BINTER001ZSI-UK,53485,made-essentials-teri-afvalemmer-12l-zilver,"MADE Essentials Teri afvalemmer 12L, zilver",2200,made,39,29,1.5600,30 x 20 x 20 cm ,Zilver,Metaal
BMTAIR023BLU-UK,22466,aire-reversible-bath-mat-delft-blue,"Aire Reversible Bath Mat, Delft Blue",2394,made,0,0,0,6 x 50 x 27 cm,Blauw,Katoen
BMTATO008RED-UK,39170,alto-100-katoenen-badmat-tomaatrood,"Alto 100% katoenen badmat, tomaatrood",1900,made,0,0,0,41 x 46 x 61cm,"Rood,Oranje",Katoen
BMTLAZ003BLU-UK,45476,laza-100-katoenen-badmat-inktblauw,"Laza 100% katoenen badmat, inktblauw",1900,made,0,0,0,23 x W23 x 10 cm,Blauw,Katoen
